iter,train_loss,val_loss,val_perplexity,elapsed_s
1,,7.5511,1902.76,
250,,5.8336,341.58,
500,,5.0587,157.39,
750,,4.8125,123.04,
1000,,4.6224,101.74,
1250,,4.4622,86.68,
1500,,4.3567,78.0,
1750,,4.3064,74.17,
2000,,4.2526,70.29,
2250,,4.209,67.29,
2500,,4.1824,65.52,
2750,,4.1515,63.53,
3000,,4.1161,61.32,
3250,,4.1216,61.66,
3500,,4.1236,61.78,
3750,,4.1015,60.43,
4000,,4.069,58.5,
4250,,4.0779,59.02,
4500,,4.0527,57.55,
4750,,4.0685,58.47,
5000,,4.0528,57.56,
