iter,train_loss,val_loss,val_perplexity,elapsed_s
1,,7.4723,1758.57,
250,,5.7279,307.33,
500,,5.0193,151.31,
750,,4.7589,116.62,
1000,,4.5262,92.41,
1250,,4.4144,82.63,
1500,,4.3127,74.64,
1750,,4.2532,70.33,
2000,,4.1821,65.5,
2250,,4.1363,62.57,
2500,,4.094,59.98,
2750,,4.0885,59.65,
3000,,4.0547,57.67,
3250,,4.0372,56.67,
3500,,4.0289,56.2,
3750,,4.0537,57.61,
4000,,4.0037,54.8,
4250,,4.0151,55.43,
4500,,4.0408,56.87,
4750,,4.0128,55.3,
5000,,4.0187,55.63,
