iter,train_loss,val_loss,val_perplexity,elapsed_s
1,,7.4916,1792.91,
250,,5.6771,292.1,
500,,5.0263,152.37,
750,,4.7501,115.6,
1000,,4.507,90.65,
1250,,4.3719,79.19,
1500,,4.275,71.88,
1750,,4.212,67.49,
2000,,4.1682,64.6,
2250,,4.1161,61.32,
2500,,4.0707,58.6,
2750,,4.0423,56.96,
3000,,4.0101,55.15,
3250,,4.0367,56.64,
3500,,4.0158,55.47,
3750,,4.0082,55.05,
4000,,4.0406,56.86,
4250,,4.0255,56.01,
4500,,4.0302,56.27,
4750,,4.0598,57.96,
5000,,4.075,58.85,
