iter,train_loss,val_loss,val_perplexity,elapsed_s
1,,7.4461,1713.1,
250,,5.7757,322.37,
500,,5.1787,177.46,
750,,4.8137,123.19,
1000,,4.7107,111.13,
1250,,4.607,100.18,
1500,,4.5774,97.26,
1750,,4.5102,90.94,
2000,,4.4576,86.28,
2250,,4.4022,81.63,
2500,,4.3262,75.66,
2750,,4.2851,72.61,
3000,,4.2914,73.07,
3250,,4.234,68.99,
3500,,4.234,68.99,
3750,,4.1801,65.37,
4000,,4.1583,63.96,
4250,,4.132,62.3,
4500,,4.1422,62.94,
4750,,4.1223,61.7,
5000,,4.0932,59.93,
