iter,train_loss,val_loss,val_perplexity,elapsed_s
1,,7.5746,1948.12,
250,,6.0114,408.06,
500,,5.7854,325.51,
750,,5.3946,220.22,
1000,,5.1712,176.12,
1250,,5.0483,155.75,
1500,,4.9286,138.19,
1750,,4.8413,126.64,
2000,,4.7628,117.07,
2250,,4.6631,105.96,
2500,,4.6075,100.23,
2750,,4.5776,97.28,
3000,,4.507,90.65,
3250,,4.4613,86.6,
3500,,4.4204,83.13,
3750,,4.423,83.35,
4000,,4.3416,76.83,
4250,,4.3463,77.19,
4500,,4.3233,75.44,
4750,,4.2854,72.63,
5000,,4.2689,71.44,
