iter,train_loss,val_loss,val_perplexity,elapsed_s
1,,7.4771,1767.12,
250,,6.0291,415.36,
500,,5.4511,233.02,
750,,5.0734,159.71,
1000,,4.9551,141.9,
1250,,4.894,133.48,
1500,,4.8255,124.65,
1750,,4.752,115.81,
2000,,4.7015,110.11,
2250,,4.6012,99.6,
2500,,4.5636,95.93,
2750,,4.5506,94.69,
3000,,4.4933,89.42,
3250,,4.4472,85.39,
3500,,4.4435,85.07,
3750,,4.4153,82.71,
4000,,4.3366,76.45,
4250,,4.3152,74.83,
4500,,4.2841,72.54,
4750,,4.2623,70.97,
5000,,4.2261,68.45,
