iter,train_loss,val_loss,val_perplexity,elapsed_s
1,,7.4063,1646.4,
250,,5.6383,280.98,
500,,5.0019,148.69,
750,,4.7275,113.01,
1000,,4.5306,92.81,
1250,,4.4119,82.43,
1500,,4.2661,71.24,
1750,,4.1968,66.47,
2000,,4.1224,61.71,
2250,,4.1102,60.96,
2500,,4.0649,58.26,
2750,,4.0261,56.04,
3000,,3.9995,54.57,
3250,,4.0111,55.21,
3500,,4.0262,56.05,
3750,,4.0268,56.08,
4000,,3.996,54.38,
4250,,4.0277,56.13,
4500,,4.0355,56.57,
4750,,4.0668,58.37,
5000,,4.0967,60.14,
